URL,Error
{'https://www.basketball-reference.com/boxscores/202211020POR.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211020LAL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211030ORL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211030OKC.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211040DET.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211040IND.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211040PHI.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211040WAS.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211040BOS.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211040MEM.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211040SAS.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211040DAL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211040NOP.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211040MIN.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211040PHO.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211040LAL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211050ORL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211050CHO.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211050ATL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211050NYK.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211050MIL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211050MIN.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211050DEN.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211050PHO.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211060LAL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211060MEM.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211060TOR.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211060LAC.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211070CHO.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211070ORL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211070DET.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211070IND.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211070PHI.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211070ATL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211070MIA.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211070CHI.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211070MEM.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211070MIN.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211070SAS.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211070DAL.html'},'NoneType' object has no attribute 'text'
